game_id,season,week,home_team,away_team,home_score,away_score,home_win
2022_01_BAL_NYJ,2022,1,NYJ,BAL,9,24,0
2022_01_BUF_LA,2022,1,LA,BUF,10,31,0
2022_01_CLE_CAR,2022,1,CAR,CLE,24,26,0
2022_01_DEN_SEA,2022,1,SEA,DEN,17,16,1
2022_01_GB_MIN,2022,1,MIN,GB,23,7,1
2022_01_IND_HOU,2022,1,HOU,IND,20,20,0
2022_01_JAX_WAS,2022,1,WAS,JAX,28,22,1
2022_01_KC_ARI,2022,1,ARI,KC,21,44,0
2022_01_LV_LAC,2022,1,LAC,LV,24,19,1
2022_01_NE_MIA,2022,1,MIA,NE,20,7,1
2022_01_NO_ATL,2022,1,ATL,NO,26,27,0
2022_01_NYG_TEN,2022,1,TEN,NYG,20,21,0
2022_01_PHI_DET,2022,1,DET,PHI,35,38,0
2022_01_PIT_CIN,2022,1,CIN,PIT,20,23,0
2022_01_SF_CHI,2022,1,CHI,SF,19,10,1
2022_01_TB_DAL,2022,1,DAL,TB,3,19,0
2022_02_ARI_LV,2022,2,LV,ARI,23,29,0
2022_02_ATL_LA,2022,2,LA,ATL,31,27,1
2022_02_CAR_NYG,2022,2,NYG,CAR,19,16,1
2022_02_CHI_GB,2022,2,GB,CHI,27,10,1
2022_02_CIN_DAL,2022,2,DAL,CIN,20,17,1
2022_02_HOU_DEN,2022,2,DEN,HOU,16,9,1
2022_02_IND_JAX,2022,2,JAX,IND,24,0,1
2022_02_LAC_KC,2022,2,KC,LAC,27,24,1
2022_02_MIA_BAL,2022,2,BAL,MIA,38,42,0
2022_02_MIN_PHI,2022,2,PHI,MIN,24,7,1
2022_02_NE_PIT,2022,2,PIT,NE,14,17,0
2022_02_NYJ_CLE,2022,2,CLE,NYJ,30,31,0
2022_02_SEA_SF,2022,2,SF,SEA,27,7,1
2022_02_TB_NO,2022,2,NO,TB,10,20,0
2022_02_TEN_BUF,2022,2,BUF,TEN,41,7,1
2022_02_WAS_DET,2022,2,DET,WAS,36,27,1
2022_03_ATL_SEA,2022,3,SEA,ATL,23,27,0
2022_03_BAL_NE,2022,3,NE,BAL,26,37,0
2022_03_BUF_MIA,2022,3,MIA,BUF,21,19,1
2022_03_CIN_NYJ,2022,3,NYJ,CIN,12,27,0
2022_03_DAL_NYG,2022,3,NYG,DAL,16,23,0
2022_03_DET_MIN,2022,3,MIN,DET,28,24,1
2022_03_GB_TB,2022,3,TB,GB,12,14,0
2022_03_HOU_CHI,2022,3,CHI,HOU,23,20,1
2022_03_JAX_LAC,2022,3,LAC,JAX,10,38,0
2022_03_KC_IND,2022,3,IND,KC,20,17,1
2022_03_LA_ARI,2022,3,ARI,LA,12,20,0
2022_03_LV_TEN,2022,3,TEN,LV,24,22,1
2022_03_NO_CAR,2022,3,CAR,NO,22,14,1
2022_03_PHI_WAS,2022,3,WAS,PHI,8,24,0
2022_03_PIT_CLE,2022,3,CLE,PIT,29,17,1
2022_03_SF_DEN,2022,3,DEN,SF,11,10,1
2022_04_ARI_CAR,2022,4,CAR,ARI,16,26,0
2022_04_BUF_BAL,2022,4,BAL,BUF,20,23,0
2022_04_CHI_NYG,2022,4,NYG,CHI,20,12,1
2022_04_CLE_ATL,2022,4,ATL,CLE,23,20,1
2022_04_DEN_LV,2022,4,LV,DEN,32,23,1
2022_04_JAX_PHI,2022,4,PHI,JAX,29,21,1
2022_04_KC_TB,2022,4,TB,KC,31,41,0
2022_04_LAC_HOU,2022,4,HOU,LAC,24,34,0
2022_04_LA_SF,2022,4,SF,LA,24,9,1
2022_04_MIA_CIN,2022,4,CIN,MIA,27,15,1
2022_04_MIN_NO,2022,4,NO,MIN,25,28,0
2022_04_NE_GB,2022,4,GB,NE,27,24,1
2022_04_NYJ_PIT,2022,4,PIT,NYJ,20,24,0
2022_04_SEA_DET,2022,4,DET,SEA,45,48,0
2022_04_TEN_IND,2022,4,IND,TEN,17,24,0
2022_04_WAS_DAL,2022,4,DAL,WAS,25,10,1
2022_05_ATL_TB,2022,5,TB,ATL,21,15,1
2022_05_CHI_MIN,2022,5,MIN,CHI,29,22,1
2022_05_CIN_BAL,2022,5,BAL,CIN,19,17,1
2022_05_DAL_LA,2022,5,LA,DAL,10,22,0
2022_05_DET_NE,2022,5,NE,DET,29,0,1
2022_05_HOU_JAX,2022,5,JAX,HOU,6,13,0
2022_05_IND_DEN,2022,5,DEN,IND,9,12,0
2022_05_LAC_CLE,2022,5,CLE,LAC,28,30,0
2022_05_LV_KC,2022,5,KC,LV,30,29,1
2022_05_MIA_NYJ,2022,5,NYJ,MIA,40,17,1
2022_05_NYG_GB,2022,5,GB,NYG,22,27,0
2022_05_PHI_ARI,2022,5,ARI,PHI,17,20,0
2022_05_PIT_BUF,2022,5,BUF,PIT,38,3,1
2022_05_SEA_NO,2022,5,NO,SEA,39,32,1
2022_05_SF_CAR,2022,5,CAR,SF,15,37,0
2022_05_TEN_WAS,2022,5,WAS,TEN,17,21,0
2022_06_ARI_SEA,2022,6,SEA,ARI,19,9,1
2022_06_BAL_NYG,2022,6,NYG,BAL,24,20,1
2022_06_BUF_KC,2022,6,KC,BUF,20,24,0
2022_06_CAR_LA,2022,6,LA,CAR,24,10,1
2022_06_CIN_NO,2022,6,NO,CIN,26,30,0
2022_06_DAL_PHI,2022,6,PHI,DAL,26,17,1
2022_06_DEN_LAC,2022,6,LAC,DEN,19,16,1
2022_06_JAX_IND,2022,6,IND,JAX,34,27,1
2022_06_MIN_MIA,2022,6,MIA,MIN,16,24,0
2022_06_NE_CLE,2022,6,CLE,NE,15,38,0
2022_06_NYJ_GB,2022,6,GB,NYJ,10,27,0
2022_06_SF_ATL,2022,6,ATL,SF,28,14,1
2022_06_TB_PIT,2022,6,PIT,TB,20,18,1
2022_06_WAS_CHI,2022,6,CHI,WAS,7,12,0
2022_07_ATL_CIN,2022,7,CIN,ATL,35,17,1
2022_07_CHI_NE,2022,7,NE,CHI,14,33,0
2022_07_CLE_BAL,2022,7,BAL,CLE,23,20,1
2022_07_DET_DAL,2022,7,DAL,DET,24,6,1
2022_07_GB_WAS,2022,7,WAS,GB,23,21,1
2022_07_HOU_LV,2022,7,LV,HOU,38,20,1
2022_07_IND_TEN,2022,7,TEN,IND,19,10,1
2022_07_KC_SF,2022,7,SF,KC,23,44,0
2022_07_NO_ARI,2022,7,ARI,NO,42,34,1
2022_07_NYG_JAX,2022,7,JAX,NYG,17,23,0
2022_07_NYJ_DEN,2022,7,DEN,NYJ,9,16,0
2022_07_PIT_MIA,2022,7,MIA,PIT,16,10,1
2022_07_SEA_LAC,2022,7,LAC,SEA,23,37,0
2022_07_TB_CAR,2022,7,CAR,TB,21,3,1
2022_08_ARI_MIN,2022,8,MIN,ARI,34,26,1
2022_08_BAL_TB,2022,8,TB,BAL,22,27,0
2022_08_CAR_ATL,2022,8,ATL,CAR,37,34,1
2022_08_CHI_DAL,2022,8,DAL,CHI,49,29,1
