game_id,season,week,home_team,away_team,home_score,away_score,home_win,home_team_avg_points_for,home_team_avg_points_against,away_team_avg_points_for,away_team_avg_points_against
2022_01_BAL_NYJ,2022,1,NYJ,BAL,9,24,0,0.0,0.0,0.0,0.0
2022_01_BUF_LA,2022,1,LA,BUF,10,31,0,0.0,0.0,0.0,0.0
2022_01_CLE_CAR,2022,1,CAR,CLE,24,26,0,0.0,0.0,0.0,0.0
2022_01_DEN_SEA,2022,1,SEA,DEN,17,16,1,0.0,0.0,0.0,0.0
2022_01_GB_MIN,2022,1,MIN,GB,23,7,1,0.0,0.0,0.0,0.0
2022_01_IND_HOU,2022,1,HOU,IND,20,20,0,0.0,0.0,0.0,0.0
2022_01_JAX_WAS,2022,1,WAS,JAX,28,22,1,0.0,0.0,0.0,0.0
2022_01_KC_ARI,2022,1,ARI,KC,21,44,0,0.0,0.0,0.0,0.0
2022_01_LV_LAC,2022,1,LAC,LV,24,19,1,0.0,0.0,0.0,0.0
2022_01_NE_MIA,2022,1,MIA,NE,20,7,1,0.0,0.0,0.0,0.0
2022_01_NO_ATL,2022,1,ATL,NO,26,27,0,0.0,0.0,0.0,0.0
2022_01_NYG_TEN,2022,1,TEN,NYG,20,21,0,0.0,0.0,0.0,0.0
2022_01_PHI_DET,2022,1,DET,PHI,35,38,0,0.0,0.0,0.0,0.0
2022_01_PIT_CIN,2022,1,CIN,PIT,20,23,0,0.0,0.0,0.0,0.0
2022_01_SF_CHI,2022,1,CHI,SF,19,10,1,0.0,0.0,0.0,0.0
2022_01_TB_DAL,2022,1,DAL,TB,3,19,0,0.0,0.0,0.0,0.0
2022_02_ARI_LV,2022,2,LV,ARI,23,29,0,19.0,24.0,21.0,44.0
2022_02_ATL_LA,2022,2,LA,ATL,31,27,1,10.0,31.0,26.0,27.0
2022_02_CAR_NYG,2022,2,NYG,CAR,19,16,1,21.0,20.0,24.0,26.0
2022_02_CHI_GB,2022,2,GB,CHI,27,10,1,7.0,23.0,19.0,10.0
2022_02_CIN_DAL,2022,2,DAL,CIN,20,17,1,3.0,19.0,20.0,23.0
2022_02_HOU_DEN,2022,2,DEN,HOU,16,9,1,16.0,17.0,20.0,20.0
2022_02_IND_JAX,2022,2,JAX,IND,24,0,1,22.0,28.0,20.0,20.0
2022_02_LAC_KC,2022,2,KC,LAC,27,24,1,44.0,21.0,24.0,19.0
2022_02_MIA_BAL,2022,2,BAL,MIA,38,42,0,24.0,9.0,20.0,7.0
2022_02_MIN_PHI,2022,2,PHI,MIN,24,7,1,38.0,35.0,23.0,7.0
2022_02_NE_PIT,2022,2,PIT,NE,14,17,0,23.0,20.0,7.0,20.0
2022_02_NYJ_CLE,2022,2,CLE,NYJ,30,31,0,26.0,24.0,9.0,24.0
2022_02_SEA_SF,2022,2,SF,SEA,27,7,1,10.0,19.0,17.0,16.0
2022_02_TB_NO,2022,2,NO,TB,10,20,0,27.0,26.0,19.0,3.0
2022_02_TEN_BUF,2022,2,BUF,TEN,41,7,1,31.0,10.0,20.0,21.0
2022_02_WAS_DET,2022,2,DET,WAS,36,27,1,35.0,38.0,28.0,22.0
2022_03_ATL_SEA,2022,3,SEA,ATL,23,27,0,12.0,21.5,26.5,29.0
2022_03_BAL_NE,2022,3,NE,BAL,26,37,0,12.0,17.0,31.0,25.5
2022_03_BUF_MIA,2022,3,MIA,BUF,21,19,1,31.0,22.5,36.0,8.5
2022_03_CIN_NYJ,2022,3,NYJ,CIN,12,27,0,20.0,27.0,18.5,21.5
2022_03_DAL_NYG,2022,3,NYG,DAL,16,23,0,20.0,18.0,11.5,18.0
2022_03_DET_MIN,2022,3,MIN,DET,28,24,1,15.0,15.5,35.5,32.5
2022_03_GB_TB,2022,3,TB,GB,12,14,0,19.5,6.5,17.0,16.5
2022_03_HOU_CHI,2022,3,CHI,HOU,23,20,1,14.5,18.5,14.5,18.0
2022_03_JAX_LAC,2022,3,LAC,JAX,10,38,0,24.0,23.0,23.0,14.0
2022_03_KC_IND,2022,3,IND,KC,20,17,1,10.0,22.0,35.5,22.5
2022_03_LA_ARI,2022,3,ARI,LA,12,20,0,25.0,33.5,20.5,29.0
2022_03_LV_TEN,2022,3,TEN,LV,24,22,1,13.5,31.0,21.0,26.5
2022_03_NO_CAR,2022,3,CAR,NO,22,14,1,20.0,22.5,18.5,23.0
2022_03_PHI_WAS,2022,3,WAS,PHI,8,24,0,27.5,29.0,31.0,21.0
2022_03_PIT_CLE,2022,3,CLE,PIT,29,17,1,28.0,27.5,18.5,18.5
2022_03_SF_DEN,2022,3,DEN,SF,11,10,1,16.0,13.0,18.5,13.0
2022_04_ARI_CAR,2022,4,CAR,ARI,16,26,0,20.666666666666668,19.666666666666668,20.666666666666668,29.0
2022_04_BUF_BAL,2022,4,BAL,BUF,20,23,0,33.0,25.666666666666668,30.333333333333332,12.666666666666666
2022_04_CHI_NYG,2022,4,NYG,CHI,20,12,1,18.666666666666668,19.666666666666668,17.333333333333332,19.0
2022_04_CLE_ATL,2022,4,ATL,CLE,23,20,1,26.666666666666668,27.0,28.333333333333332,24.0
2022_04_DEN_LV,2022,4,LV,DEN,32,23,1,21.333333333333332,25.666666666666668,14.333333333333334,12.0
2022_04_JAX_PHI,2022,4,PHI,JAX,29,21,1,28.666666666666668,16.666666666666668,28.0,12.666666666666666
2022_04_KC_TB,2022,4,TB,KC,31,41,0,17.0,9.0,29.333333333333332,21.666666666666668
2022_04_LAC_HOU,2022,4,HOU,LAC,24,34,0,16.333333333333332,19.666666666666668,19.333333333333332,28.0
2022_04_LA_SF,2022,4,SF,LA,24,9,1,15.666666666666666,12.333333333333334,20.333333333333332,23.333333333333332
2022_04_MIA_CIN,2022,4,CIN,MIA,27,15,1,21.333333333333332,18.333333333333332,27.666666666666668,21.333333333333332
2022_04_MIN_NO,2022,4,NO,MIN,25,28,0,17.0,22.666666666666668,19.333333333333332,18.333333333333332
2022_04_NE_GB,2022,4,GB,NE,27,24,1,16.0,15.0,16.666666666666668,23.666666666666668
2022_04_NYJ_PIT,2022,4,PIT,NYJ,20,24,0,18.0,22.0,17.333333333333332,27.0
2022_04_SEA_DET,2022,4,DET,SEA,45,48,0,31.666666666666668,31.0,15.666666666666666,23.333333333333332
2022_04_TEN_IND,2022,4,IND,TEN,17,24,0,13.333333333333334,20.333333333333332,17.0,28.0
2022_04_WAS_DAL,2022,4,DAL,WAS,25,10,1,15.333333333333334,17.333333333333332,21.0,27.333333333333332
2022_05_ATL_TB,2022,5,TB,ATL,21,15,1,20.5,17.0,25.75,25.25
2022_05_CHI_MIN,2022,5,MIN,CHI,29,22,1,21.5,20.0,16.0,19.25
2022_05_CIN_BAL,2022,5,BAL,CIN,19,17,1,29.75,25.0,22.75,17.5
2022_05_DAL_LA,2022,5,LA,DAL,10,22,0,17.5,23.5,17.75,15.5
2022_05_DET_NE,2022,5,NE,DET,29,0,1,18.5,24.5,35.0,35.25
2022_05_HOU_JAX,2022,5,JAX,HOU,6,13,0,26.25,16.75,18.25,23.25
2022_05_IND_DEN,2022,5,DEN,IND,9,12,0,16.5,17.0,14.25,21.25
2022_05_LAC_CLE,2022,5,CLE,LAC,28,30,0,26.25,23.75,23.0,27.0
2022_05_LV_KC,2022,5,KC,LV,30,29,1,32.25,24.0,24.0,25.0
2022_05_MIA_NYJ,2022,5,NYJ,MIA,40,17,1,19.0,25.25,24.5,22.75
2022_05_NYG_GB,2022,5,GB,NYG,22,27,0,18.75,17.25,19.0,17.75
2022_05_PHI_ARI,2022,5,ARI,PHI,17,20,0,22.0,25.75,28.75,17.75
2022_05_PIT_BUF,2022,5,BUF,PIT,38,3,1,28.5,14.5,18.5,22.5
2022_05_SEA_NO,2022,5,NO,SEA,39,32,1,19.0,24.0,23.75,28.75
2022_05_SF_CAR,2022,5,CAR,SF,15,37,0,19.5,21.25,17.75,11.5
2022_05_TEN_WAS,2022,5,WAS,TEN,17,21,0,18.25,26.75,18.75,25.25
2022_06_ARI_SEA,2022,6,SEA,ARI,19,9,1,25.4,30.8,21.0,24.6
2022_06_BAL_NYG,2022,6,NYG,BAL,24,20,1,20.6,18.6,27.6,23.4
2022_06_BUF_KC,2022,6,KC,BUF,20,24,0,31.8,25.0,30.4,12.2
2022_06_CAR_LA,2022,6,LA,CAR,24,10,1,16.0,23.2,18.6,24.4
2022_06_CIN_NO,2022,6,NO,CIN,26,30,0,23.0,25.6,21.6,17.8
2022_06_DAL_PHI,2022,6,PHI,DAL,26,17,1,27.0,17.6,18.6,14.4
2022_06_DEN_LAC,2022,6,LAC,DEN,19,16,1,24.4,27.2,15.0,16.0
2022_06_JAX_IND,2022,6,IND,JAX,34,27,1,13.8,18.8,22.2,16.0
2022_06_MIN_MIA,2022,6,MIA,MIN,16,24,0,23.0,26.2,23.0,20.4
2022_06_NE_CLE,2022,6,CLE,NE,15,38,0,26.6,25.0,20.6,19.6
2022_06_NYJ_GB,2022,6,GB,NYJ,10,27,0,19.4,19.2,23.2,23.6
2022_06_SF_ATL,2022,6,ATL,SF,28,14,1,23.6,24.4,21.6,12.2
2022_06_TB_PIT,2022,6,PIT,TB,20,18,1,15.4,25.6,20.6,16.6
2022_06_WAS_CHI,2022,6,CHI,WAS,7,12,0,17.2,21.2,18.0,25.6
2022_07_ATL_CIN,2022,7,CIN,ATL,35,17,1,23.0,19.166666666666668,24.333333333333332,22.666666666666668
2022_07_CHI_NE,2022,7,NE,CHI,14,33,0,23.5,18.833333333333332,15.5,19.666666666666668
2022_07_CLE_BAL,2022,7,BAL,CLE,23,20,1,26.333333333333332,23.5,24.666666666666668,27.166666666666668
2022_07_DET_DAL,2022,7,DAL,DET,24,6,1,18.333333333333332,16.333333333333332,28.0,34.0
2022_07_GB_WAS,2022,7,WAS,GB,23,21,1,17.0,22.5,17.833333333333332,20.5
2022_07_HOU_LV,2022,7,LV,HOU,38,20,1,25.0,26.0,17.2,19.8
2022_07_IND_TEN,2022,7,TEN,IND,19,10,1,19.2,23.6,17.166666666666668,20.166666666666668
2022_07_KC_SF,2022,7,SF,KC,23,44,0,20.333333333333332,14.833333333333334,29.833333333333332,24.833333333333332
2022_07_NO_ARI,2022,7,ARI,NO,42,34,1,19.0,23.666666666666668,23.5,26.333333333333332
2022_07_NYG_JAX,2022,7,JAX,NYG,17,23,0,23.0,19.0,21.166666666666668,18.833333333333332
2022_07_NYJ_DEN,2022,7,DEN,NYJ,9,16,0,15.166666666666666,16.5,23.833333333333332,21.333333333333332
2022_07_PIT_MIA,2022,7,MIA,PIT,16,10,1,21.833333333333332,25.833333333333332,16.166666666666668,24.333333333333332
2022_07_SEA_LAC,2022,7,LAC,SEA,23,37,0,23.5,25.333333333333332,24.333333333333332,27.166666666666668
2022_07_TB_CAR,2022,7,CAR,TB,21,3,1,17.166666666666668,24.333333333333332,20.166666666666668,17.166666666666668
2022_08_ARI_MIN,2022,8,MIN,ARI,34,26,1,23.166666666666668,19.666666666666668,22.285714285714285,25.142857142857142
2022_08_BAL_TB,2022,8,TB,BAL,22,27,0,17.714285714285715,17.714285714285715,25.857142857142858,23.0
2022_08_CAR_ATL,2022,8,ATL,CAR,37,34,1,23.285714285714285,24.428571428571427,17.714285714285715,21.285714285714285
2022_08_CHI_DAL,2022,8,DAL,CHI,49,29,1,19.142857142857142,14.857142857142858,18.0,18.857142857142858
2022_08_CIN_CLE,2022,8,CLE,CIN,32,13,1,24.0,26.571428571428573,24.714285714285715,18.857142857142858
2022_08_DEN_JAX,2022,8,JAX,DEN,17,21,0,22.142857142857142,19.571428571428573,14.285714285714286,16.428571428571427
2022_08_GB_BUF,2022,8,BUF,GB,27,17,1,29.333333333333332,13.5,18.285714285714285,20.857142857142858
2022_08_LV_NO,2022,8,NO,LV,24,0,1,25.0,28.571428571428573,27.166666666666668,25.0
2022_08_MIA_DET,2022,8,DET,MIA,27,31,0,24.333333333333332,32.333333333333336,21.0,23.571428571428573
2022_08_NE_NYJ,2022,8,NYJ,NE,17,22,0,22.714285714285715,19.571428571428573,22.142857142857142,20.857142857142858
2022_08_NYG_SEA,2022,8,SEA,NYG,27,13,1,26.142857142857142,26.571428571428573,21.428571428571427,18.571428571428573
2022_08_PIT_PHI,2022,8,PHI,PIT,35,13,1,26.833333333333332,17.5,15.285714285714286,23.142857142857142
2022_08_SF_LA,2022,8,LA,SF,14,31,0,17.333333333333332,21.0,20.714285714285715,19.0
2022_08_TEN_HOU,2022,8,HOU,TEN,10,17,0,17.666666666666668,22.833333333333332,19.166666666666668,21.333333333333332
2022_08_WAS_IND,2022,8,IND,WAS,16,17,0,16.142857142857142,20.0,17.857142857142858,22.285714285714285
2022_09_BAL_NO,2022,9,NO,BAL,13,27,0,24.875,25.0,26.0,22.875
2022_09_BUF_NYJ,2022,9,NYJ,BUF,20,17,1,22.0,19.875,29.0,14.0
2022_09_CAR_CIN,2022,9,CIN,CAR,42,21,1,23.25,20.5,19.75,23.25
2022_09_GB_DET,2022,9,DET,GB,15,9,1,24.714285714285715,32.142857142857146,18.125,21.625
2022_09_IND_NE,2022,9,NE,IND,26,3,1,22.125,20.375,16.125,19.625
2022_09_LAC_ATL,2022,9,ATL,LAC,17,20,0,25.0,25.625,23.428571428571427,27.0
2022_09_LA_TB,2022,9,TB,LA,16,13,1,18.25,18.875,16.857142857142858,22.428571428571427
