game_id,season,week,home_team,away_team,home_score,away_score,home_win,home_team_avg_points_for,home_team_avg_points_against,away_team_avg_points_for,away_team_avg_points_against,home_recent_form,away_recent_form,home_field_advantage
2025_01_ARI_NO,2025,1,NO,ARI,13.0,20.0,0,23.28125,23.28125,23.28125,23.28125,23.28125,23.28125,1
2025_01_BAL_BUF,2025,1,BUF,BAL,41.0,40.0,1,23.28125,23.28125,23.28125,23.28125,23.28125,23.28125,1
2025_01_CAR_JAX,2025,1,JAX,CAR,26.0,10.0,1,23.28125,23.28125,23.28125,23.28125,23.28125,23.28125,1
2025_01_CIN_CLE,2025,1,CLE,CIN,16.0,17.0,0,23.28125,23.28125,23.28125,23.28125,23.28125,23.28125,1
2025_01_DAL_PHI,2025,1,PHI,DAL,24.0,20.0,1,23.28125,23.28125,23.28125,23.28125,23.28125,23.28125,1
2025_01_DET_GB,2025,1,GB,DET,27.0,13.0,1,23.28125,23.28125,23.28125,23.28125,23.28125,23.28125,1
2025_01_HOU_LA,2025,1,LA,HOU,14.0,9.0,1,23.28125,23.28125,23.28125,23.28125,23.28125,23.28125,1
2025_01_KC_LAC,2025,1,LAC,KC,27.0,21.0,1,23.28125,23.28125,23.28125,23.28125,23.28125,23.28125,1
2025_01_LV_NE,2025,1,NE,LV,13.0,20.0,0,23.28125,23.28125,23.28125,23.28125,23.28125,23.28125,1
2025_01_MIA_IND,2025,1,IND,MIA,33.0,8.0,1,23.28125,23.28125,23.28125,23.28125,23.28125,23.28125,1
2025_01_MIN_CHI,2025,1,CHI,MIN,24.0,27.0,0,23.28125,23.28125,23.28125,23.28125,23.28125,23.28125,1
2025_01_NYG_WAS,2025,1,WAS,NYG,21.0,6.0,1,23.28125,23.28125,23.28125,23.28125,23.28125,23.28125,1
2025_01_PIT_NYJ,2025,1,NYJ,PIT,32.0,34.0,0,23.28125,23.28125,23.28125,23.28125,23.28125,23.28125,1
2025_01_SF_SEA,2025,1,SEA,SF,13.0,17.0,0,23.28125,23.28125,23.28125,23.28125,23.28125,23.28125,1
2025_01_TB_ATL,2025,1,ATL,TB,20.0,23.0,0,23.28125,23.28125,23.28125,23.28125,23.28125,23.28125,1
2025_01_TEN_DEN,2025,1,DEN,TEN,20.0,12.0,1,23.28125,23.28125,23.28125,23.28125,23.28125,23.28125,1
2025_02_ATL_MIN,2025,2,MIN,ATL,6.0,22.0,0,27.0,24.0,20.0,23.0,27.0,20.0,1
2025_02_BUF_NYJ,2025,2,NYJ,BUF,10.0,30.0,0,32.0,34.0,41.0,40.0,32.0,41.0,1
2025_02_CAR_ARI,2025,2,ARI,CAR,27.0,22.0,1,20.0,13.0,10.0,26.0,20.0,10.0,1
2025_02_CHI_DET,2025,2,DET,CHI,52.0,21.0,1,13.0,27.0,24.0,27.0,13.0,24.0,1
2025_02_CLE_BAL,2025,2,BAL,CLE,41.0,17.0,1,40.0,41.0,16.0,17.0,40.0,16.0,1
